INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (19, 2, '2025-06-02 10:59:00', '2025-06-09 23:59:59.000000', '2025-06-09 10:00:00.000000', '2025-06-02 10:59:00', '1', '2025-06-09 10:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (1, 42, '2025-06-02 11:22:00', '2025-06-09 23:59:59.000000', '2025-06-09 12:00:00.000000', '2025-06-02 11:22:00', '1', '2025-06-09 12:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (1, 69, '2025-06-02 11:28:00', '2025-06-09 23:59:59.000000', '2025-06-09 12:00:00.000000', '2025-06-02 11:28:00', '1', '2025-06-09 12:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (1, 55, '2025-06-02 13:51:00', '2025-06-09 23:59:59.000000', '2025-06-09 10:00:00.000000', '2025-06-02 13:51:00', '2', '2025-06-09 10:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (10, 3, '2025-06-02 14:21:00', '2025-06-09 23:59:59.000000', '2025-06-09 15:00:00.000000', '2025-06-02 14:21:00', '1', '2025-06-09 15:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (10, 43, '2025-06-02 17:43:00', '2025-06-09 23:59:59.000000', '2025-06-09 14:00:00.000000', '2025-06-02 17:43:00', '1', '2025-06-09 14:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (10, 34, '2025-06-03 12:42:00', '2025-06-10 23:59:59.000000', '2025-06-10 09:00:00.000000', '2025-06-03 12:42:00', '2', '2025-06-10 09:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (15, 62, '2025-06-02 08:41:00', '2025-06-09 23:59:59.000000', '2025-06-09 08:00:00.000000', '2025-06-02 08:41:00', '2', '2025-06-09 08:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (15, 79, '2025-06-03 15:44:00', '2025-06-10 23:59:59.000000', '2025-06-10 14:00:00.000000', '2025-06-03 15:44:00', '2', '2025-06-10 14:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (27, 39, '2025-06-02 12:24:00', '2025-06-09 23:59:59.000000', '2025-06-09 09:00:00.000000', '2025-06-02 12:24:00', '2', '2025-06-09 09:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (27, 59, '2025-06-04 17:19:00', '2025-06-11 23:59:59.000000', '2025-06-11 14:00:00.000000', '2025-06-04 17:19:00', '2', '2025-06-11 14:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (6, 36, '2025-06-02 08:51:00', '2025-06-09 23:59:59.000000', '2025-06-09 09:00:00.000000', '2025-06-02 08:51:00', '2', '2025-06-09 09:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (6, 78, '2025-06-03 08:29:00', '2025-06-10 23:59:59.000000', '2025-06-10 14:00:00.000000', '2025-06-03 08:29:00', '2', '2025-06-10 14:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (6, 50, '2025-06-03 11:23:00', '2025-06-10 23:59:59.000000', '2025-06-10 13:00:00.000000', '2025-06-03 11:23:00', '1', '2025-06-10 13:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (5, 75, '2025-06-02 11:08:00', '2025-06-09 23:59:59.000000', '2025-06-09 08:00:00.000000', '2025-06-02 11:08:00', '2', '2025-06-09 08:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (5, 74, '2025-06-03 16:36:00', '2025-06-10 23:59:59.000000', '2025-06-10 12:00:00.000000', '2025-06-03 16:36:00', '2', '2025-06-10 12:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (7, 49, '2025-06-02 16:42:00', '2025-06-09 23:59:59.000000', '2025-06-09 12:00:00.000000', '2025-06-02 16:42:00', '1', '2025-06-09 12:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (18, 63, '2025-06-02 10:21:00', '2025-06-09 23:59:59.000000', '2025-06-09 10:00:00.000000', '2025-06-02 10:21:00', '2', '2025-06-09 10:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (18, 58, '2025-06-02 14:04:00', '2025-06-09 23:59:59.000000', '2025-06-09 11:00:00.000000', '2025-06-02 14:04:00', '1', '2025-06-09 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (9, 46, '2025-06-02 10:11:00', '2025-06-09 23:59:59.000000', '2025-06-09 08:00:00.000000', '2025-06-02 10:11:00', '1', '2025-06-09 08:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (14, 64, '2025-06-02 13:25:00', '2025-06-09 23:59:59.000000', '2025-06-09 11:00:00.000000', '2025-06-02 13:25:00', '1', '2025-06-09 11:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (20, 56, '2025-06-02 12:42:00', '2025-06-09 23:59:59.000000', '2025-06-09 13:00:00.000000', '2025-06-02 12:42:00', '1', '2025-06-09 13:00:00.000000', '1');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (26, 48, '2025-06-02 10:22:00', '2025-06-09 23:59:59.000000', '2025-06-09 11:00:00.000000', '2025-06-02 10:22:00', '1', '2025-06-09 11:00:00.000000', '2');
INSERT INTO book_loans as bl (member_id, book_id, start_date, end_date, finished_date, created_at, created_by, updated_at, updated_by) VALUES (26, 77, '2025-06-03 11:52:00', '2025-06-10 23:59:59.000000', '2025-06-10 09:00:00.000000', '2025-06-03 11:52:00', '1', '2025-06-10 09:00:00.000000', '2');
